Circuit--Architecture,Depth,Gates,Real Time (ms),User + Sys Time (ms)
3_17_13--2x3,43,57,17,12
3_17_13--aspen4,43,57,26,21
3_17_13--qx2,22,36,12,8
ex-1_166--2x3,24,31,13,9
ex-1_166--aspen4,24,31,17,13
ex-1_166--qx2,12,19,7,4
ham3_102--2x3,25,32,6,3
ham3_102--aspen4,25,32,7,3
ham3_102--qx2,13,20,5,2
or--2x3,17,26,6,2
or--aspen4,23,35,6,3
or--qx2,8,17,5,2
4gt13_92--2x3,103,159,13,9
4gt13_92--aspen4,122,192,124,119
4gt13_92--qx2,38,66,6,2
4mod5-v1_22--2x3,27,42,7,2
4mod5-v1_22--aspen4,36,51,86,81
4mod5-v1_22--qx2,24,36,8,4
alu-v0_27--2x3,55,87,30,26
alu-v0_27--aspen4,79,108,3339,3330
alu-v0_27--qx2,28,45,7,2
mod5mils_65--2x3,45,62,8,4
mod5mils_65--aspen4,42,62,11,6
mod5mils_65--qx2,36,50,10,6
qaoa5--2x3,14,22,10,6
qaoa5--aspen4,14,22,10,6
qaoa5--qx2,14,22,9,5
16QBT_05CYC_TFL_0--aspen4,5,37,11,7
16QBT_10CYC_TFL_3--aspen4,10,73,13,8